City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
6,Amahai,ID,79.41,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
28,Santa Maria,BR,78.1,clear sky,-29.6842,-53.8069,Hotel Morotin
38,Acapulco,MX,78.66,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
39,Cape Town,ZA,76.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
45,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
52,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
72,Palu,ID,75.29,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
95,Payo,ID,75.13,moderate rain,-3.7508,103.6372,Mess keban agung
98,Victoria,HK,77.32,light rain,22.2855,114.1577,Mini Hotel Central
111,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
117,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
137,Qui Nhon,VN,77.49,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
155,Atuona,PF,76.91,few clouds,-9.8,-139.0333,Villa Enata
168,Cabo San Lucas,MX,75.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
177,Bredasdorp,ZA,75.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
181,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
215,Langsa,ID,76.35,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
228,Manokwari,ID,78.31,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
229,Faanui,PF,77.65,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Meulaboh,ID,77.7,overcast clouds,4.1363,96.1285,Kost Pria
257,Salamiyah,SY,76.8,overcast clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
265,Vila Franca Do Campo,PT,75.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
270,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
276,Morondava,MG,77.81,clear sky,-20.2833,44.2833,La Case Bambou
278,Finschhafen,PG,79.97,overcast clouds,-6.6024,147.8681,Cossam Guest House
295,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
303,Kapit,MY,75.74,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
306,Saint-Joseph,RE,79.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
349,Alexandria,EG,77.13,clear sky,31.2156,29.9553,Royal Crown Hotel
351,Mizdah,LY,75.76,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
359,Najran,SA,77.58,clear sky,17.4924,44.1277,محمد هادي ال فطيح
363,Mitsamiouli,KM,79.05,scattered clouds,-11.3847,43.2844,Foyer ADM
372,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
387,Calvinia,ZA,78.15,clear sky,-31.4707,19.776,Die Lemoenhuis
388,Bonthe,SL,76.17,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
392,Kinablangan,PH,79.77,overcast clouds,7.6947,126.5503,Danny Moreno Property
397,Biak,ID,77.16,overcast clouds,-0.9131,122.8766,Penginapan Kim
399,Nabire,ID,77.38,heavy intensity rain,-3.3667,135.4833,Hotel Nusantara Nabire
408,Beira,MZ,77.9,clear sky,-19.8436,34.8389,Beira Terrace Hotel
411,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
418,Dingle,PH,75.87,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
423,Camacha,PT,75.52,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
428,Hirara,JP,77.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
431,Kandrian,PG,78.1,overcast clouds,-6.2167,149.55,Kandrian Station
432,Honiara,SB,78.58,broken clouds,-9.4333,159.95,Heritage Park Hotel
433,Galle,LK,79.07,overcast clouds,6.0367,80.217,Amangalla
443,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
452,Ybycui,PY,78.98,light rain,-26.0167,-57.05,Villa América
454,Rosetta,EG,76.12,clear sky,31.4044,30.4164,Green Valley
462,Escarcega,MX,76.8,scattered clouds,18.6089,-90.7454,Hotel Maria Isabel
463,Bandarbeyla,SO,79.57,light rain,9.4942,50.8122,JABIR HOTEL
475,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
477,Baturaja,ID,75.92,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
482,Buin,CL,79.12,clear sky,-33.7333,-70.75,Paihuen
485,Puerto Escondido,MX,76.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
508,Ishigaki,JP,76.08,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
511,Damnoen Saduak,TH,77.95,moderate rain,13.5182,99.9547,Maikaew Damnoen Resort
514,Hoopstad,ZA,76.26,clear sky,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
515,Ca Mau,VN,76.26,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
529,Bengkulu,ID,79.2,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
