,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barstow,US,34.8986,-117.0228,65.55,43,0,3.96,clear sky
1,Mahebourg,MU,-20.4081,57.7,78.26,69,40,11.5,scattered clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,93,90,9.22,overcast clouds
3,Voyvozh,RU,62.892,54.9635,25.02,92,100,3.2,overcast clouds
4,Sukumo,JP,32.9333,132.7333,61.03,93,100,5.12,overcast clouds
5,Butaritari,KI,3.0707,172.7902,81.59,78,90,9.13,light rain
6,Amahai,ID,-3.3333,128.9167,79.41,83,95,2.39,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,74.84,82,99,20.54,light rain
8,Beringovskiy,RU,63.05,179.3167,11.17,95,100,18.68,overcast clouds
9,Tadine,NC,-21.55,167.8833,70.36,86,8,7.63,clear sky
10,Taoudenni,ML,22.6783,-3.9836,94.82,16,100,7.38,overcast clouds
11,Tambovka,RU,50.0969,128.0489,21.31,47,30,10.58,scattered clouds
12,Monrovia,LR,6.3005,-10.7969,85.77,78,100,8.46,light rain
13,Borazjan,IR,29.2666,51.2159,83.53,49,0,7.29,clear sky
14,Pangnirtung,CA,66.1451,-65.7125,32.0,100,90,4.61,snow
15,Busselton,AU,-33.65,115.3333,53.04,89,65,8.14,broken clouds
16,Progreso,MX,21.2833,-89.6667,74.1,53,7,13.33,clear sky
17,Kapaa,US,22.0752,-159.319,74.37,82,24,1.43,few clouds
18,Ushuaia,AR,-54.8,-68.3,46.06,49,0,19.57,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,74.1,64,20,20.71,few clouds
20,Caravelas,BR,-17.7125,-39.2481,83.35,57,60,7.34,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,46.51,53,0,19.57,clear sky
22,Saint George,US,37.1041,-113.5841,57.54,42,4,3.65,clear sky
23,Vaini,TO,-21.2,-175.2,73.56,88,20,4.61,few clouds
24,Qaanaaq,GL,77.484,-69.3632,1.26,55,0,9.1,clear sky
25,Cherskiy,RU,68.75,161.3,-5.96,99,100,4.03,overcast clouds
26,Avarua,CK,-21.2078,-159.775,71.65,73,100,13.8,overcast clouds
27,Griffith,US,41.5284,-87.4237,54.99,88,90,1.01,overcast clouds
