City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Berlevag,NO,2021-10-24 21:25:14,70.8578,29.0864,26.55,86,40,10.36
1,Hermanus,ZA,2021-10-24 21:25:14,-34.4187,19.2345,57.9,72,0,8.97
2,Cabo San Lucas,MX,2021-10-24 21:25:14,22.8909,-109.9124,89.62,57,20,17.27
3,Talcahuano,CL,2021-10-24 21:25:14,-36.7167,-73.1167,60.48,72,0,19.57
4,Cidreira,BR,2021-10-24 21:25:15,-30.1811,-50.2056,64.96,60,0,9.86
5,Busselton,AU,2021-10-24 21:25:15,-33.65,115.3333,56.05,83,100,10.78
6,Bluff,NZ,2021-10-24 21:23:15,-46.6,168.3333,53.58,93,100,3.6
7,Punta Arenas,CL,2021-10-24 21:25:15,-53.15,-70.9167,46.51,36,75,33.38
8,Rikitea,PF,2021-10-24 21:25:16,-23.1203,-134.9692,74.79,74,28,16.96
9,Ushuaia,AR,2021-10-24 21:25:16,-54.8,-68.3,35.26,64,75,26.46
10,Ilulissat,GL,2021-10-24 21:25:16,69.2167,-51.1,21.22,58,75,17.27
11,Touros,BR,2021-10-24 21:21:30,-5.1989,-35.4608,81.5,74,35,13.96
12,Cape Town,ZA,2021-10-24 21:25:17,-33.9258,18.4232,60.28,67,0,4.0
13,Tuktoyaktuk,CA,2021-10-24 21:25:17,69.4541,-133.0374,30.2,93,75,3.44
14,Lima,PE,2021-10-24 21:21:05,-12.0432,-77.0282,64.13,72,75,16.11
15,Severo-Kurilsk,RU,2021-10-24 21:23:46,50.6789,156.125,38.82,76,51,19.77
16,Killybegs,IE,2021-10-24 21:25:17,54.6333,-8.45,50.36,78,38,19.82
17,New Norfolk,AU,2021-10-24 21:24:22,-42.7826,147.0587,49.66,61,99,3.0
18,Santa Maria,BR,2021-10-24 21:25:18,-29.6842,-53.8069,72.7,35,0,2.3
19,Coquimbo,CL,2021-10-24 21:21:07,-29.9533,-71.3436,64.13,67,0,12.66
20,Berbera,SO,2021-10-24 21:25:18,10.4396,45.0143,83.61,54,4,1.05
21,Bredasdorp,ZA,2021-10-24 21:25:18,-34.5322,20.0403,50.29,81,0,4.61
22,Pisco,PE,2021-10-24 21:23:26,-13.7,-76.2167,68.05,64,0,23.02
23,Puerto Ayora,EC,2021-10-24 21:25:19,-0.7393,-90.3518,82.36,86,100,10.29
24,Severo-Yeniseyskiy,RU,2021-10-24 21:25:19,60.3725,93.0408,32.49,92,100,11.63
25,Aleksandrovskiy Zavod,RU,2021-10-24 21:25:19,50.9237,117.9374,25.0,88,97,3.89
26,Kruisfontein,ZA,2021-10-24 21:21:48,-34.0033,24.7314,51.89,76,0,3.53
27,Georgetown,MY,2021-10-24 21:20:28,5.4112,100.3354,77.9,94,20,3.44
28,Cururupu,BR,2021-10-24 21:25:20,-1.8283,-44.8683,80.15,74,2,4.09
29,Omsukchan,RU,2021-10-24 21:25:20,62.5333,155.8,5.61,95,100,7.85
30,Khatanga,RU,2021-10-24 21:20:23,71.9667,102.5,0.34,90,83,16.67
31,Saint-Augustin,CA,2021-10-24 21:25:21,51.226,-58.6502,45.21,89,100,24.0
32,Diego De Almagro,CL,2021-10-24 21:25:21,-26.3667,-70.05,76.12,23,0,12.21
33,Jacareacanga,BR,2021-10-24 21:25:21,-6.2222,-57.7528,85.33,67,98,3.06
34,Albany,US,2021-10-24 21:25:21,42.6001,-73.9662,55.67,65,92,3.76
